name,address,postal_code,country,region,latitude,longitude,check_in,check_out,price,currency,rating,num_reviews,availability,stars,type,persons,room_type,nota_personal,nota_facilităţi,nota_curăţenie,nota_confort,nota_raport_calitate/preţ,nota_locaţie,nota_wifi_gratuit,vedere_la_oras,menaj_zilnic,canale_prin_satelit,zona_de_luat_masa_in_aer_liber,cada,facilitati_de_calcat,izolare_fonica,terasa_la_soare,pardoseala_de_gresie/marmura,papuci_de_casa,uscator_de_rufe,animale_de_companie,incalzire,birou,mobilier_exterior,alarma_de_fum,vedere_la_gradina,cuptor,cuptor_cu_microunde,zona_de_relaxare,canapea,intrare_privata,fier_de_calcat,masina_de_cafea,plita_de_gatit,extinctoare,cana_fierbator,gradina,ustensile_de_bucatarie,masina_de_spalat,balcon,pardoseala_de_lemn_sau_parchet,aparat_pentru_prepararea_de_ceai/cafea,zona_de_luat_masa,canale_prin_cablu,aer_conditionat,masa,suport_de_haine,cada_sau_dus,frigider,mic_dejun
Hotel Cetate Imparatul Romanilor,"Str.Unirii, Nr.3, 510009 Alba Iulia, România",510009.0,România,Alba,46.0705976,23.5656953,De la 14:00,Până la 11:30,215.0, lei,7.3,2715,True,3.0,hotel,2.0,Cameră dublă buget,8.1,6.7,7.2,7.0,7.4,8.9,7.9,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False
Hotel Medieval,"Str. MIlitari, nr. 2, 510009 Alba Iulia, România",510009.0,România,Alba,46.0665613,23.5733664,De la 14:00,Până la 12:00,496.0, lei,8.8,706,True,5.0,hotel,2.0,Cameră dublă la mansardă,9.1,8.5,9.0,8.9,8.4,9.8,8.3,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,False
Carolina Heritage,"11 Strada Unirii, 510009 Alba Iulia, România",510009.0,România,Alba,46.0688802,23.5706263,De la 14:00 la 22:00,De la 08:00 la 12:00,390.0, lei,9.4,385,True,3.0,hotel,2.0,Cameră dublă,9.5,9.2,9.6,9.6,9.3,9.9,9.8,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False
Holiday,"strada Arnsberg, nr. 7, bloc F4, etaj 2, ap. 16., 510014 Alba Iulia, România",510014.0,România,Alba,46.0704305,23.5619076,De la 14:00 la 00:00,De la 08:00 la 12:00,350.0, lei,9.8,25,True,3.0,apartment,2.0,Apartament cu 1 dormitor,9.9,9.9,9.9,9.8,9.9,9.9,10.0,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,True,False
Cetate boulevard Apartment,"4 Strada Arnsberg, 510021 Alba Iulia, România",510021.0,România,Alba,46.0706874,23.5619463,De la 15:00,Până la 12:00,214.0, lei,9.6,20,True,3.0,apartment,2.0,Apartament cu 1 dormitor,9.7,9.3,9.4,9.9,9.4,9.7,0.0,False,False,True,False,False,False,True,False,True,True,True,False,True,False,False,False,True,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False
The Corner50,"50 Strada Octavian Goga, 510150 Alba Iulia, România",510150.0,România,Alba,46.0625632,23.5740442,De la 14:00 la 00:00,De la 07:00 la 11:00,169.0, lei,9.7,763,True,3.0,guest_house,2.0,Cameră dublă cu baie privată,9.8,9.7,9.8,9.7,9.8,9.8,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,False
Vila Preciosa,"str. Lucian Blaga Nr.10, 510149 Alba Iulia, România",510149.0,România,Alba,46.066848,23.578883,De la 14:00 la 23:00,De la 07:00 la 12:00,265.0, lei,9.5,1676,True,4.0,guest_house,2.0,Cameră dublă,9.4,9.5,9.7,9.6,9.6,9.7,9.1,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,True,True,False,True
Popas Carolina Alba Iulia,"Strada Mircea Cel Bătrân, 510055 Alba Iulia, România",510055.0,România,Alba,46.0724137,23.5622882,De la 15:00 la 20:00,De la 08:00 la 11:00,230.0, lei,9.7,4,True,3.0,apartment,2.0,Apartament cu 1 dormitor,10.0,10.0,10.0,10.0,9.4,10.0,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False
Bulevard Apartments 11,"Bulevardul Transilvaniei, no. 6, block 25, B entrance, flat 11, 510025 Alba Iulia, România",510025.0,România,Alba,46.0701968,23.5604274,,,349.0, lei,9.6,7,True,4.0,apartment,2.0,Apartament cu 2 dormitoare,9.6,9.3,9.6,9.6,8.9,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False
Apulum Apartment,"8 Strada Ștefan cel Mare, 510054 Alba Iulia, România",510054.0,România,Alba,46.0729212,23.5616774,De la 16:00 la 00:00,De la 08:00 la 12:00,380.0, lei,10.0,82,True,3.0,apartment,2.0,Apartament cu 2 dormitoare,9.9,10.0,9.9,10.0,9.8,9.8,8.3,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,False
